disease_id,standard_name_en,standard_name_zh,category,icd_10,icd_11,description,source
D064,Smallpox,天花,,B03,,,ICD-10
D065,Monkeypox,猴痘,Viral,B04,1E71,,ICD-10
D066,Other viral infections characterized by skin lesions,其他以皮损为特征的病毒感染,,B08,,,ICD-10
D067,Acute hepatitis A,急性甲型肝炎,Viral,B15,1E50.0,,ICD-10
D068,Acute hepatitis B,急性乙型肝炎,Viral,B16,1E50.1,,ICD-10
D069,Other acute viral hepatitis,其他急性病毒性肝炎,Viral,B17,1E50.2,,ICD-10
D070,Chronic viral hepatitis,慢性病毒性肝炎,Viral,B18,1E50,,ICD-10
D071,Unspecified viral hepatitis,未明示的病毒性肝炎,Viral,B19,1E50.Y,,ICD-10
D073,Infectious mononucleosis,传染性单核细胞增多症,,B27,,,ICD-10
D074,Viral conjunctivitis,病毒性结膜炎,,B30,9A60,,ICD-10
D075,Other viral diseases,其他病毒性疾病,,B33,,,ICD-10
D076,Viral infection of unspecified site,未指定部位的病毒感染,,B34,,,ICD-10
D077,Plasmodium falciparum malaria,恶性疟,Parasitic,B50,1F40,,ICD-10
D078,Plasmodium vivax malaria,间日疟,Parasitic,B51,1F40,,ICD-10
D079,Plasmodium malariae malaria,三日疟,Parasitic,B52,1F40,,ICD-10
D080,Other parasitologically confirmed malaria,其他寄生虫学证实的疟疾,Parasitic,B53,1F40,,ICD-10
D081,Unspecified malaria,未明示的疟疾,Parasitic,B54,1F40,,ICD-10
D082,Leishmaniasis,利什曼病,Parasitic,B55,1F51,,ICD-10
D083,African trypanosomiasis,非洲锥虫病,Parasitic,B56,1F52,,ICD-10
D084,Chagas disease,恰加斯病,Parasitic,B57,1F53,,ICD-10
D085,Toxoplasmosis,弓形体病,Parasitic,B58,1F54,,ICD-10
D086,Other fluke infections,其他吸虫感染,Parasitic,B66,1F89,,ICD-10
D087,Taeniasis,绦虫病,Parasitic,B68,,,ICD-10
D088,Cysticercosis,囊虫病,Parasitic,B69,,,ICD-10
D089,Arboviral diseases,虫媒病毒病,Viral,,,,CDC
D090,Babesiosis,巴贝西虫病,Parasitic,,,,CDC
D091,Botulism,肉毒杆菌中毒,Bacterial,,,,CDC
D092,Campylobacteriosis,弯曲杆菌病,Bacterial,,,,CDC
D093,Chancroid,软下疳,Bacterial,,,,CDC
D094,Chlamydia trachomatis infection,沙眼衣原体感染,Bacterial,,,,CDC
D095,Coccidioidomycosis,球孢子菌病,Fungal,,,,CDC
D096,Cryptosporidiosis,隐孢子虫病,Parasitic,,,,CDC
D097,Cyclosporiasis,环孢子虫病,Parasitic,,,,CDC
D098,Ehrlichiosis and Anaplasmosis,埃立克体病和无形体病,Bacterial,,,,CDC
D099,Giardiasis,贾第虫病,Parasitic,,,,CDC
D100,Haemophilus influenzae,流感嗜血杆菌,Bacterial,,,,CDC
D101,Candida auris infection,耳念珠菌感染,Fungal,,,"Emerging multidrug-resistant Candida auris infection used in CDC surveillance",CDC
D102,Hantavirus infection,汉坦病毒感染,Viral,,,,CDC
D103,Hemolytic uremic syndrome,溶血性尿毒症综合征,Bacterial,,,,CDC
D104,Influenza-associated mortality,流行性感冒相关死亡,Viral,,,,CDC
D105,Shigellosis,志贺菌病,Bacterial,,,"Shigella infection used in CDC enteric disease surveillance",CDC
D106,Invasive pneumococcal disease,侵袭性肺炎球菌病,Bacterial,,,,CDC
D107,Legionellosis,军团菌病,Bacterial,,,,CDC
D108,Listeriosis,李斯特菌病,Bacterial,,,,CDC
D109,Lyme disease,莱姆病,Bacterial,,,,CDC
D110,Meningococcal disease,脑膜炎球菌病,Bacterial,,,"Canonical cross-country ID covering meningococcal surveillance mappings",CDC
D111,Novel influenza A (deprecated duplicate),新型甲型流感（废弃重复ID）,Viral,,,"Deprecated duplicate of D016; do not use for new mappings",CDC
D112,Psittacosis,鹦鹉热,Bacterial,,,,CDC
D113,Q fever,Q热,Bacterial,,,,CDC
D114,Salmonellosis,沙门氏菌病,Bacterial,,,,CDC
D115,Shiga toxin-producing Escherichia coli infection,产志贺毒素大肠杆菌感染,Bacterial,,,"Shiga toxin-producing Escherichia coli infection used in CDC surveillance",CDC
D116,Melioidosis,类鼻疽,Bacterial,,,"Burkholderia pseudomallei infection used in CDC surveillance",CDC
D117,Cronobacter invasive infection,克罗诺杆菌侵袭性感染,Bacterial,,,"Invasive Cronobacter infection, primarily monitored in infants",CDC
D118,Spotted fever rickettsiosis,斑点热立克次体病,Bacterial,,,,CDC
D119,Streptococcal disease,链球菌病,Bacterial,,,,CDC
D120,Tetanus,破伤风,Bacterial,,,,CDC
D121,Toxic shock syndrome,中毒性休克综合征,Bacterial,,,,CDC
D122,Trichinellosis,旋毛虫病,Parasitic,,,,CDC
D123,Tularemia,土拉菌病,Bacterial,,,,CDC
D124,Typhoid fever,伤寒,Bacterial,,,,CDC
D125,Vancomycin resistance,万古霉素耐药性,Bacterial,,,,CDC
D126,Vibriosis,弧菌病,Bacterial,,,,CDC
D127,Viral hemorrhagic fevers,病毒性出血热,Viral,,,,CDC
D128,West Nile virus,西尼罗病毒,Viral,,,,CDC
D129,Oropouche virus disease,奥罗普切病毒病,Viral,,,"Oropouche virus disease used in CDC arboviral surveillance",CDC
D130,Zika virus,寨卡病毒,Viral,,,"Deprecated duplicate of D051; do not use for new mappings",CDC
D131,Vancomycin-intermediate Staphylococcus aureus infection,万古霉素中介金黄色葡萄球菌感染,Bacterial,,,"Vancomycin-intermediate Staphylococcus aureus infection (VISA)",CDC
D132,Vancomycin-resistant Staphylococcus aureus infection,万古霉素耐药金黄色葡萄球菌感染,Bacterial,,,"Vancomycin-resistant Staphylococcus aureus infection (VRSA)",CDC
D133,Carbapenemase-producing organism infection,产碳青霉烯酶微生物感染,Bacterial,,,"Carbapenemase-producing organism surveillance concept used by CDC",CDC
D134,Aseptic meningitis,无菌性脑膜炎,Viral,,,"JP weekly sentinel surveillance concept",JP NIID
D135,Bacterial meningitis,细菌性脑膜炎,Bacterial,,,"JP weekly sentinel surveillance concept",JP NIID
D136,Chlamydial pneumonia,衣原体肺炎,Bacterial,,,"JP weekly sentinel surveillance concept",JP NIID
D137,Epidemic keratoconjunctivitis,流行性角结膜炎,Viral,,,"JP weekly sentinel surveillance concept",JP NIID
D138,Erythema infectiosum (Fifth disease),传染性红斑（第五病）,Viral,,,"JP weekly sentinel surveillance concept",JP NIID
D139,Herpangina,疱疹性咽峡炎,Viral,,,"JP weekly sentinel surveillance concept",JP NIID
D140,Mycoplasma pneumonia,支原体肺炎,Bacterial,,,"JP weekly sentinel surveillance concept",JP NIID
D141,Pharyngoconjunctival fever,咽结膜热,Viral,,,"JP weekly sentinel surveillance concept",JP NIID
D142,Respiratory syncytial virus infection (RSV),呼吸道合胞病毒感染,Viral,,,"JP weekly sentinel surveillance concept",JP NIID
D143,Roseola (Exanthem subitum),幼儿急疹（突发性发疹）,Viral,,,"JP weekly sentinel surveillance concept",JP NIID
D144,Creutzfeldt-Jakob disease,克雅氏病,Prion,,,"JP weekly surveillance concept",JP NIID
D145,Relapsing fever,回归热,Bacterial,,,"JP weekly surveillance concept",JP NIID
D146,Disseminated cryptococcosis,播散性隐球菌病,Fungal,,,"JP weekly surveillance concept",JP NIID
D147,Barmah Forest virus infection,巴马森林病毒感染,Viral,,,"AU NINDSS surveillance concept",AU NINDSS
D148,Donovanosis,肉芽肿性腹股沟病,Bacterial,,,"AU NINDSS surveillance concept",AU NINDSS
D149,Flavivirus infection (unspecified),黄病毒感染（未特指）,Viral,,,"AU NINDSS surveillance concept",AU NINDSS
D150,Gonococcal infection,淋球菌感染,Bacterial,,,"AU NINDSS surveillance concept",AU NINDSS
D151,Haemolytic uraemic syndrome (HUS),溶血性尿毒综合征,Other,,,"AU NINDSS surveillance concept",AU NINDSS
D152,Murray Valley encephalitis virus infection,墨累谷脑炎病毒感染,Viral,,,"AU NINDSS surveillance concept",AU NINDSS
D153,Non-tuberculous mycobacterial infection,非结核分枝杆菌感染,Bacterial,,,"AU NINDSS surveillance concept",AU NINDSS
D154,Ross River virus infection,罗斯河病毒感染,Viral,,,"AU NINDSS surveillance concept",AU NINDSS
D155,Yersiniosis,耶尔森菌病,Bacterial,,,"AU NINDSS surveillance concept",AU NINDSS
D999,Total,甲乙丙类传染病总计,Summary,,,Aggregate total for reporting,China CDC
D156,Gastroenteritis,胃肠炎,Bacterial,A09,1A40,Gastroenteritis from common source or foodborne intoxication,NZ PHF Science
D157,Invasive group A streptococcal infection,侵袭性A族链球菌感染,Bacterial,A49.1,1B50,Invasive infection caused by Group A Streptococcus,NZ PHF Science
D158,Rheumatic fever,风湿热,Bacterial,I00,BA40,Inflammatory disease following Group A Streptococcal infection,NZ PHF Science
D159,Rickettsial disease,立克次体病,Bacterial,A79,1C30,Infection caused by Rickettsia species,NZ PHF Science
D160,VTEC/STEC infection,产志贺毒素大肠杆菌感染,Bacterial,A04.3,1A03,Verotoxin/Shiga toxin-producing E. coli infection,NZ PHF Science
D161,Decompression sickness,减压病,Other,T70.3,NF04,Condition caused by dissolved gases in body during decompression,NZ PHF Science
D162,HIV infection,人类免疫缺乏病毒感染,Viral,B20-B24,1C62,Human immunodeficiency virus infection surveillance concept,Taiwan, China CDC NIDSS
D163,Hantavirus hemorrhagic fever,汉他病毒出血热,Viral,A98.5,1D67,Hantavirus hemorrhagic fever surveillance concept,Taiwan, China CDC NIDSS
D164,Hantavirus pulmonary syndrome,汉他病毒肺症候群,Viral,B33.4,1D64,Hantavirus pulmonary syndrome surveillance concept,Taiwan, China CDC NIDSS
D165,Amebiasis,阿米巴病,Parasitic,A06,1A36,Entamoeba histolytica infection surveillance concept,Taiwan, China CDC NIDSS
D166,Multidrug-resistant tuberculosis,多重耐药结核病,Bacterial,A15-A19,1B10,Multidrug-resistant tuberculosis surveillance concept,Taiwan, China CDC NIDSS
D167,Congenital syphilis,先天性梅毒,Bacterial,A50,1A70.1,Congenital syphilis surveillance concept,Taiwan, China CDC NIDSS
D168,Congenital rubella syndrome,先天性风疹综合征,Viral,P35.0,KA63.0,Congenital rubella syndrome surveillance concept,Taiwan, China CDC NIDSS
D169,Endemic typhus fever,地方性斑疹伤寒,Bacterial,A75.2,1C30,Endemic typhus fever surveillance concept,Taiwan, China CDC NIDSS
D170,Complicated varicella,水痘并发症,Viral,B01,KA62.0,Complicated varicella surveillance concept,Taiwan, China CDC NIDSS
D171,Herpes B virus infection,疱疹B病毒感染,Viral,B00,1E90,Macacine herpesvirus 1 infection surveillance concept,Taiwan, China CDC NIDSS
D172,Severe complicated influenza,流感并发重症,Viral,J09-J11,1E30,Severe complicated influenza surveillance concept,Taiwan, China CDC NIDSS
D173,Rift Valley fever,裂谷热,Viral,A92.4,1D47,Rift Valley fever surveillance concept,Taiwan, China CDC NIDSS
D174,Marburg virus disease,马堡病毒病,Viral,A98.3,1D60.1,Marburg virus disease surveillance concept,Taiwan, China CDC NIDSS
D175,Nipah virus infection,立百病毒感染,Viral,B33.8,1D64,Nipah virus infection surveillance concept,Taiwan, China CDC NIDSS
D176,Relapsing fever,回归热,Bacterial,A68,1C21,Relapsing fever surveillance concept,Taiwan, China CDC NIDSS
D177,Cat-scratch disease,猫抓病,Bacterial,A28.1,1B9Y,Cat-scratch disease surveillance concept,Taiwan, China CDC NIDSS
D178,Acute flaccid paralysis,急性无力肢体麻痹,Other,,,Acute flaccid paralysis surveillance concept,Taiwan, China CDC NIDSS
D179,Toxoplasmosis,弓形虫感染,Parasitic,B58,1F57,Toxoplasma gondii infection surveillance concept,Taiwan, China CDC NIDSS
D180,Enterovirus infection with severe complications,肠病毒感染并发重症,Viral,B34.1,1F01,Severe enterovirus infection surveillance concept,Taiwan, China CDC NIDSS
D181,Severe complicated COVID-19,新冠并发重症,Viral,U07.1,RA01,Severe complicated COVID-19 surveillance concept,Taiwan, China CDC NIDSS
D182,Hantavirus syndrome,汉他病毒症候群,Viral,,,Aggregate hantavirus syndrome surveillance concept,Taiwan, China CDC NIDSS
D183,Epidemic typhus fever,流行性斑疹伤寒,Bacterial,A75.0,1C30,Epidemic typhus fever surveillance concept,Taiwan, China CDC NIDSS
