Date,YearMonthDay,YearMonth,Diseases,DiseasesCN,Cases,Deaths,Incidence,Mortality,ProvinceCN,Province,ADCode,DOI,URL,Source,disease_id,standard_name_en,standard_name_zh
2023-08-01,2023/08/01,2023 August,Cholera,霍乱,8.0,0.0,-10,-10,全国,China,100000,pmid:38023391; pmc:PMC10652090; doi:10.46234/ccdcw2023.179,https://pmc.ncbi.nlm.nih.gov/articles/PMC10652090/,PubMed,D002,Cholera,霍乱
2023-08-01,2023/08/01,2023 August,H5N1,人感染高致病性禽流感,0.0,0.0,-10,-10,全国,China,100000,pmid:38023391; pmc:PMC10652090; doi:10.46234/ccdcw2023.179,https://pmc.ncbi.nlm.nih.gov/articles/PMC10652090/,PubMed,D014,H5N1,人感染高致病性禽流感
2023-08-01,2023/08/01,2023 August,Measles,麻疹,105.0,0.0,-10,-10,全国,China,100000,pmid:38023391; pmc:PMC10652090; doi:10.46234/ccdcw2023.179,https://pmc.ncbi.nlm.nih.gov/articles/PMC10652090/,PubMed,D017,Measles,麻疹
2023-08-01,2023/08/01,2023 August,Hemorrhagic Fever,流行性出血热,240.0,0.0,-10,-10,全国,China,100000,pmid:38023391; pmc:PMC10652090; doi:10.46234/ccdcw2023.179,https://pmc.ncbi.nlm.nih.gov/articles/PMC10652090/,PubMed,D018,Hemorrhagic Fever,流行性出血热
2023-08-01,2023/08/01,2023 August,Rabies,狂犬病,12.0,8.0,-10,-10,全国,China,100000,pmid:38023391; pmc:PMC10652090; doi:10.46234/ccdcw2023.179,https://pmc.ncbi.nlm.nih.gov/articles/PMC10652090/,PubMed,D019,Rabies,狂犬病
2023-08-01,2023/08/01,2023 August,Japanese Encephalitis,流行性乙型脑炎,80.0,1.0,-10,-10,全国,China,100000,pmid:38023391; pmc:PMC10652090; doi:10.46234/ccdcw2023.179,https://pmc.ncbi.nlm.nih.gov/articles/PMC10652090/,PubMed,D020,Japanese Encephalitis,流行性乙型脑炎
2023-08-01,2023/08/01,2023 August,Dengue,登革热,,0.0,-10,-10,全国,China,100000,pmid:38023391; pmc:PMC10652090; doi:10.46234/ccdcw2023.179,https://pmc.ncbi.nlm.nih.gov/articles/PMC10652090/,PubMed,D021,Dengue,登革热
2023-08-01,2023/08/01,2023 August,Anthrax,炭疽,123.0,0.0,-10,-10,全国,China,100000,pmid:38023391; pmc:PMC10652090; doi:10.46234/ccdcw2023.179,https://pmc.ncbi.nlm.nih.gov/articles/PMC10652090/,PubMed,D023,Anthrax,炭疽
2023-08-01,2023/08/01,2023 August,Dysentery,细菌性和阿米巴性痢疾,,0.0,-10,-10,全国,China,100000,pmid:38023391; pmc:PMC10652090; doi:10.46234/ccdcw2023.179,https://pmc.ncbi.nlm.nih.gov/articles/PMC10652090/,PubMed,D024,Dysentery,细菌性和阿米巴性痢疾
2023-08-01,2023/08/01,2023 August,Tuberculosis,肺结核,,303.0,-10,-10,全国,China,100000,pmid:38023391; pmc:PMC10652090; doi:10.46234/ccdcw2023.179,https://pmc.ncbi.nlm.nih.gov/articles/PMC10652090/,PubMed,D025,Tuberculosis,肺结核
2023-08-01,2023/08/01,2023 August,Typhoid and Paratyphoid fever,伤寒和副伤寒,678.0,0.0,-10,-10,全国,China,100000,pmid:38023391; pmc:PMC10652090; doi:10.46234/ccdcw2023.179,https://pmc.ncbi.nlm.nih.gov/articles/PMC10652090/,PubMed,D026,Typhoid and Paratyphoid fever,伤寒和副伤寒
2023-08-01,2023/08/01,2023 August,Meningococcal Meningitis,流行性脑脊髓膜炎,6.0,0.0,-10,-10,全国,China,100000,pmid:38023391; pmc:PMC10652090; doi:10.46234/ccdcw2023.179,https://pmc.ncbi.nlm.nih.gov/articles/PMC10652090/,PubMed,D027,Meningococcal Meningitis,流行性脑脊髓膜炎
2023-08-01,2023/08/01,2023 August,Pertussis,百日咳,,1.0,-10,-10,全国,China,100000,pmid:38023391; pmc:PMC10652090; doi:10.46234/ccdcw2023.179,https://pmc.ncbi.nlm.nih.gov/articles/PMC10652090/,PubMed,D028,Pertussis,百日咳
2023-08-01,2023/08/01,2023 August,Diphtheria,白喉,0.0,0.0,-10,-10,全国,China,100000,pmid:38023391; pmc:PMC10652090; doi:10.46234/ccdcw2023.179,https://pmc.ncbi.nlm.nih.gov/articles/PMC10652090/,PubMed,D029,Diphtheria,白喉
2023-08-01,2023/08/01,2023 August,Neonatal Tetanus,新生儿破伤风,2.0,0.0,-10,-10,全国,China,100000,pmid:38023391; pmc:PMC10652090; doi:10.46234/ccdcw2023.179,https://pmc.ncbi.nlm.nih.gov/articles/PMC10652090/,PubMed,D030,Neonatal Tetanus,新生儿破伤风
2023-08-01,2023/08/01,2023 August,Scarlet fever,猩红热,,0.0,-10,-10,全国,China,100000,pmid:38023391; pmc:PMC10652090; doi:10.46234/ccdcw2023.179,https://pmc.ncbi.nlm.nih.gov/articles/PMC10652090/,PubMed,D031,Scarlet fever,猩红热
2023-08-01,2023/08/01,2023 August,Brucellosis,布鲁氏菌病,,0.0,-10,-10,全国,China,100000,pmid:38023391; pmc:PMC10652090; doi:10.46234/ccdcw2023.179,https://pmc.ncbi.nlm.nih.gov/articles/PMC10652090/,PubMed,D032,Brucellosis,布鲁氏菌病
2023-08-01,2023/08/01,2023 August,Gonorrhea,淋病,,0.0,-10,-10,全国,China,100000,pmid:38023391; pmc:PMC10652090; doi:10.46234/ccdcw2023.179,https://pmc.ncbi.nlm.nih.gov/articles/PMC10652090/,PubMed,D033,Gonorrhea,淋病
2023-08-01,2023/08/01,2023 August,Syphilis,梅毒,,3.0,-10,-10,全国,China,100000,pmid:38023391; pmc:PMC10652090; doi:10.46234/ccdcw2023.179,https://pmc.ncbi.nlm.nih.gov/articles/PMC10652090/,PubMed,D034,Syphilis,梅毒
2023-08-01,2023/08/01,2023 August,Leptospirosis,钩端螺旋体病,57.0,0.0,-10,-10,全国,China,100000,pmid:38023391; pmc:PMC10652090; doi:10.46234/ccdcw2023.179,https://pmc.ncbi.nlm.nih.gov/articles/PMC10652090/,PubMed,D035,Leptospirosis,钩端螺旋体病
2023-08-01,2023/08/01,2023 August,Schistosomiasis,血吸虫病,1.0,0.0,-10,-10,全国,China,100000,pmid:38023391; pmc:PMC10652090; doi:10.46234/ccdcw2023.179,https://pmc.ncbi.nlm.nih.gov/articles/PMC10652090/,PubMed,D036,Schistosomiasis,血吸虫病
2023-08-01,2023/08/01,2023 August,Malaria,疟疾,234.0,2.0,-10,-10,全国,China,100000,pmid:38023391; pmc:PMC10652090; doi:10.46234/ccdcw2023.179,https://pmc.ncbi.nlm.nih.gov/articles/PMC10652090/,PubMed,D037,Malaria,疟疾
2023-08-01,2023/08/01,2023 August,H7N9,人感染H7N9禽流感,0.0,0.0,-10,-10,全国,China,100000,pmid:38023391; pmc:PMC10652090; doi:10.46234/ccdcw2023.179,https://pmc.ncbi.nlm.nih.gov/articles/PMC10652090/,PubMed,D015,H7N9,人感染H7N9禽流感
2023-08-01,2023/08/01,2023 August,Influenza,流行性感冒,,0.0,-10,-10,全国,China,100000,pmid:38023391; pmc:PMC10652090; doi:10.46234/ccdcw2023.179,https://pmc.ncbi.nlm.nih.gov/articles/PMC10652090/,PubMed,D038,Influenza,流行性感冒
2023-08-01,2023/08/01,2023 August,Mumps,流行性腮腺炎,7919.0,0.0,-10,-10,全国,China,100000,pmid:38023391; pmc:PMC10652090; doi:10.46234/ccdcw2023.179,https://pmc.ncbi.nlm.nih.gov/articles/PMC10652090/,PubMed,D039,Mumps,流行性腮腺炎
2023-08-01,2023/08/01,2023 August,Rubella,风疹,103.0,0.0,-10,-10,全国,China,100000,pmid:38023391; pmc:PMC10652090; doi:10.46234/ccdcw2023.179,https://pmc.ncbi.nlm.nih.gov/articles/PMC10652090/,PubMed,D040,Rubella,风疹
2023-08-01,2023/08/01,2023 August,Acute Hemorrhagic Conjunctivitis,急性出血性结膜炎,,0.0,-10,-10,全国,China,100000,pmid:38023391; pmc:PMC10652090; doi:10.46234/ccdcw2023.179,https://pmc.ncbi.nlm.nih.gov/articles/PMC10652090/,PubMed,D041,Acute Hemorrhagic Conjunctivitis,急性出血性结膜炎
2023-08-01,2023/08/01,2023 August,Leprosy,麻风病,23.0,0.0,-10,-10,全国,China,100000,pmid:38023391; pmc:PMC10652090; doi:10.46234/ccdcw2023.179,https://pmc.ncbi.nlm.nih.gov/articles/PMC10652090/,PubMed,D042,Leprosy,麻风病
2023-08-01,2023/08/01,2023 August,Typhus,流行性和地方性斑疹伤寒,217.0,0.0,-10,-10,全国,China,100000,pmid:38023391; pmc:PMC10652090; doi:10.46234/ccdcw2023.179,https://pmc.ncbi.nlm.nih.gov/articles/PMC10652090/,PubMed,D043,Typhus,流行性和地方性斑疹伤寒
2023-08-01,2023/08/01,2023 August,Kala-azar,黑热病,26.0,1.0,-10,-10,全国,China,100000,pmid:38023391; pmc:PMC10652090; doi:10.46234/ccdcw2023.179,https://pmc.ncbi.nlm.nih.gov/articles/PMC10652090/,PubMed,D044,Kala-azar,黑热病
2023-08-01,2023/08/01,2023 August,Echinococcosis,包虫病,352.0,0.0,-10,-10,全国,China,100000,pmid:38023391; pmc:PMC10652090; doi:10.46234/ccdcw2023.179,https://pmc.ncbi.nlm.nih.gov/articles/PMC10652090/,PubMed,D045,Echinococcosis,包虫病
2023-08-01,2023/08/01,2023 August,Filariasis,丝虫病,0.0,0.0,-10,-10,全国,China,100000,pmid:38023391; pmc:PMC10652090; doi:10.46234/ccdcw2023.179,https://pmc.ncbi.nlm.nih.gov/articles/PMC10652090/,PubMed,D046,Filariasis,丝虫病
2023-08-01,2023/08/01,2023 August,Infectious Diarrhea,其他感染性腹泻病,,0.0,-10,-10,全国,China,100000,pmid:38023391; pmc:PMC10652090; doi:10.46234/ccdcw2023.179,https://pmc.ncbi.nlm.nih.gov/articles/PMC10652090/,PubMed,D047,Infectious Diarrhea,其他感染性腹泻病
2023-08-01,2023/08/01,2023 August,Hand-Foot-Mouth Disease,手足口病,,0.0,-10,-10,全国,China,100000,pmid:38023391; pmc:PMC10652090; doi:10.46234/ccdcw2023.179,https://pmc.ncbi.nlm.nih.gov/articles/PMC10652090/,PubMed,D048,Hand-Foot-Mouth Disease,手足口病
2023-08-01,2023/08/01,2023 August,Total,甲乙丙类传染病总计,,,-10,-10,全国,China,100000,pmid:38023391; pmc:PMC10652090; doi:10.46234/ccdcw2023.179,https://pmc.ncbi.nlm.nih.gov/articles/PMC10652090/,PubMed,D999,Total,甲乙丙类传染病总计
