Date,YearMonthDay,YearMonth,Diseases,DiseasesCN,Cases,Deaths,Incidence,Mortality,ProvinceCN,Province,ADCode,DOI,URL,Source,disease_id,standard_name_en,standard_name_zh
2020-05-01,2020/05/01,2020 May,Cholera,霍乱,1.0,0.0,-10,-10,全国,China,100000,pmid:34594703; pmc:PMC8428463; doi:10.46234/ccdcw2020.130,https://pmc.ncbi.nlm.nih.gov/articles/PMC8428463/,PubMed,D002,Cholera,霍乱
2020-05-01,2020/05/01,2020 May,Meningococcal Meningitis,流行性脑脊髓膜炎,4.0,0.0,-10,-10,全国,China,100000,pmid:34594703; pmc:PMC8428463; doi:10.46234/ccdcw2020.130,https://pmc.ncbi.nlm.nih.gov/articles/PMC8428463/,PubMed,D027,Meningococcal Meningitis,流行性脑脊髓膜炎
2020-05-01,2020/05/01,2020 May,Pertussis,百日咳,277.0,0.0,-10,-10,全国,China,100000,pmid:34594703; pmc:PMC8428463; doi:10.46234/ccdcw2020.130,https://pmc.ncbi.nlm.nih.gov/articles/PMC8428463/,PubMed,D028,Pertussis,百日咳
2020-05-01,2020/05/01,2020 May,Diphtheria,白喉,0.0,0.0,-10,-10,全国,China,100000,pmid:34594703; pmc:PMC8428463; doi:10.46234/ccdcw2020.130,https://pmc.ncbi.nlm.nih.gov/articles/PMC8428463/,PubMed,D029,Diphtheria,白喉
2020-05-01,2020/05/01,2020 May,Neonatal Tetanus,新生儿破伤风,2.0,0.0,-10,-10,全国,China,100000,pmid:34594703; pmc:PMC8428463; doi:10.46234/ccdcw2020.130,https://pmc.ncbi.nlm.nih.gov/articles/PMC8428463/,PubMed,D030,Neonatal Tetanus,新生儿破伤风
2020-05-01,2020/05/01,2020 May,Scarlet fever,猩红热,562.0,0.0,-10,-10,全国,China,100000,pmid:34594703; pmc:PMC8428463; doi:10.46234/ccdcw2020.130,https://pmc.ncbi.nlm.nih.gov/articles/PMC8428463/,PubMed,D031,Scarlet fever,猩红热
2020-05-01,2020/05/01,2020 May,Brucellosis,布鲁氏菌病,,0.0,-10,-10,全国,China,100000,pmid:34594703; pmc:PMC8428463; doi:10.46234/ccdcw2020.130,https://pmc.ncbi.nlm.nih.gov/articles/PMC8428463/,PubMed,D032,Brucellosis,布鲁氏菌病
2020-05-01,2020/05/01,2020 May,Gonorrhea,淋病,,1.0,-10,-10,全国,China,100000,pmid:34594703; pmc:PMC8428463; doi:10.46234/ccdcw2020.130,https://pmc.ncbi.nlm.nih.gov/articles/PMC8428463/,PubMed,D033,Gonorrhea,淋病
2020-05-01,2020/05/01,2020 May,Syphilis,梅毒,,6.0,-10,-10,全国,China,100000,pmid:34594703; pmc:PMC8428463; doi:10.46234/ccdcw2020.130,https://pmc.ncbi.nlm.nih.gov/articles/PMC8428463/,PubMed,D034,Syphilis,梅毒
2020-05-01,2020/05/01,2020 May,Leptospirosis,钩端螺旋体病,5.0,0.0,-10,-10,全国,China,100000,pmid:34594703; pmc:PMC8428463; doi:10.46234/ccdcw2020.130,https://pmc.ncbi.nlm.nih.gov/articles/PMC8428463/,PubMed,D035,Leptospirosis,钩端螺旋体病
2020-05-01,2020/05/01,2020 May,Schistosomiasis,血吸虫病,5.0,0.0,-10,-10,全国,China,100000,pmid:34594703; pmc:PMC8428463; doi:10.46234/ccdcw2020.130,https://pmc.ncbi.nlm.nih.gov/articles/PMC8428463/,PubMed,D036,Schistosomiasis,血吸虫病
2020-05-01,2020/05/01,2020 May,Malaria,疟疾,40.0,0.0,-10,-10,全国,China,100000,pmid:34594703; pmc:PMC8428463; doi:10.46234/ccdcw2020.130,https://pmc.ncbi.nlm.nih.gov/articles/PMC8428463/,PubMed,D037,Malaria,疟疾
2020-05-01,2020/05/01,2020 May,H7N9,人感染H7N9禽流感,0.0,0.0,-10,-10,全国,China,100000,pmid:34594703; pmc:PMC8428463; doi:10.46234/ccdcw2020.130,https://pmc.ncbi.nlm.nih.gov/articles/PMC8428463/,PubMed,D015,H7N9,人感染H7N9禽流感
2020-05-01,2020/05/01,2020 May,COVID-19,新型冠状病毒感染,143.0,1.0,-10,-10,全国,China,100000,pmid:34594703; pmc:PMC8428463; doi:10.46234/ccdcw2020.130,https://pmc.ncbi.nlm.nih.gov/articles/PMC8428463/,PubMed,D004,COVID-19,新型冠状病毒感染
2020-05-01,2020/05/01,2020 May,Influenza,流行性感冒,,2.0,-10,-10,全国,China,100000,pmid:34594703; pmc:PMC8428463; doi:10.46234/ccdcw2020.130,https://pmc.ncbi.nlm.nih.gov/articles/PMC8428463/,PubMed,D038,Influenza,流行性感冒
2020-05-01,2020/05/01,2020 May,Mumps,流行性腮腺炎,,0.0,-10,-10,全国,China,100000,pmid:34594703; pmc:PMC8428463; doi:10.46234/ccdcw2020.130,https://pmc.ncbi.nlm.nih.gov/articles/PMC8428463/,PubMed,D039,Mumps,流行性腮腺炎
2020-05-01,2020/05/01,2020 May,Rubella,风疹,90.0,0.0,-10,-10,全国,China,100000,pmid:34594703; pmc:PMC8428463; doi:10.46234/ccdcw2020.130,https://pmc.ncbi.nlm.nih.gov/articles/PMC8428463/,PubMed,D040,Rubella,风疹
2020-05-01,2020/05/01,2020 May,Acute Hemorrhagic Conjunctivitis,急性出血性结膜炎,,0.0,-10,-10,全国,China,100000,pmid:34594703; pmc:PMC8428463; doi:10.46234/ccdcw2020.130,https://pmc.ncbi.nlm.nih.gov/articles/PMC8428463/,PubMed,D041,Acute Hemorrhagic Conjunctivitis,急性出血性结膜炎
2020-05-01,2020/05/01,2020 May,Leprosy,麻风病,48.0,0.0,-10,-10,全国,China,100000,pmid:34594703; pmc:PMC8428463; doi:10.46234/ccdcw2020.130,https://pmc.ncbi.nlm.nih.gov/articles/PMC8428463/,PubMed,D042,Leprosy,麻风病
2020-05-01,2020/05/01,2020 May,Typhus,流行性和地方性斑疹伤寒,67.0,0.0,-10,-10,全国,China,100000,pmid:34594703; pmc:PMC8428463; doi:10.46234/ccdcw2020.130,https://pmc.ncbi.nlm.nih.gov/articles/PMC8428463/,PubMed,D043,Typhus,流行性和地方性斑疹伤寒
2020-05-01,2020/05/01,2020 May,Kala-azar,黑热病,26.0,0.0,-10,-10,全国,China,100000,pmid:34594703; pmc:PMC8428463; doi:10.46234/ccdcw2020.130,https://pmc.ncbi.nlm.nih.gov/articles/PMC8428463/,PubMed,D044,Kala-azar,黑热病
2020-05-01,2020/05/01,2020 May,Echinococcosis,包虫病,266.0,0.0,-10,-10,全国,China,100000,pmid:34594703; pmc:PMC8428463; doi:10.46234/ccdcw2020.130,https://pmc.ncbi.nlm.nih.gov/articles/PMC8428463/,PubMed,D045,Echinococcosis,包虫病
2020-05-01,2020/05/01,2020 May,Filariasis,丝虫病,0.0,0.0,-10,-10,全国,China,100000,pmid:34594703; pmc:PMC8428463; doi:10.46234/ccdcw2020.130,https://pmc.ncbi.nlm.nih.gov/articles/PMC8428463/,PubMed,D046,Filariasis,丝虫病
2020-05-01,2020/05/01,2020 May,Infectious Diarrhea,其他感染性腹泻病,,0.0,-10,-10,全国,China,100000,pmid:34594703; pmc:PMC8428463; doi:10.46234/ccdcw2020.130,https://pmc.ncbi.nlm.nih.gov/articles/PMC8428463/,PubMed,D047,Infectious Diarrhea,其他感染性腹泻病
2020-05-01,2020/05/01,2020 May,Hand-Foot-Mouth Disease,手足口病,,0.0,-10,-10,全国,China,100000,pmid:34594703; pmc:PMC8428463; doi:10.46234/ccdcw2020.130,https://pmc.ncbi.nlm.nih.gov/articles/PMC8428463/,PubMed,D048,Hand-Foot-Mouth Disease,手足口病
2020-05-01,2020/05/01,2020 May,Total,甲乙丙类传染病总计,,,-10,-10,全国,China,100000,pmid:34594703; pmc:PMC8428463; doi:10.46234/ccdcw2020.130,https://pmc.ncbi.nlm.nih.gov/articles/PMC8428463/,PubMed,D999,Total,甲乙丙类传染病总计
