Date,YearMonthDay,YearMonth,Diseases,DiseasesCN,Cases,Deaths,Incidence,Mortality,ProvinceCN,Province,ADCode,DOI,URL,Source,disease_id,standard_name_en,standard_name_zh
2022-01-01,2022/01/01,2022 January,Cholera,霍乱,1.0,0.0,-10,-10,全国,China,100000,pmid:35265393; pmc:PMC8886490; doi:10.46234/ccdcw2022.025,https://pmc.ncbi.nlm.nih.gov/articles/PMC8886490/,PubMed,D002,Cholera,霍乱
2022-01-01,2022/01/01,2022 January,Tuberculosis,肺结核,,304.0,-10,-10,全国,China,100000,pmid:35265393; pmc:PMC8886490; doi:10.46234/ccdcw2022.025,https://pmc.ncbi.nlm.nih.gov/articles/PMC8886490/,PubMed,D025,Tuberculosis,肺结核
2022-01-01,2022/01/01,2022 January,Typhoid and Paratyphoid fever,伤寒和副伤寒,405.0,0.0,-10,-10,全国,China,100000,pmid:35265393; pmc:PMC8886490; doi:10.46234/ccdcw2022.025,https://pmc.ncbi.nlm.nih.gov/articles/PMC8886490/,PubMed,D026,Typhoid and Paratyphoid fever,伤寒和副伤寒
2022-01-01,2022/01/01,2022 January,Meningococcal Meningitis,流行性脑脊髓膜炎,13.0,0.0,-10,-10,全国,China,100000,pmid:35265393; pmc:PMC8886490; doi:10.46234/ccdcw2022.025,https://pmc.ncbi.nlm.nih.gov/articles/PMC8886490/,PubMed,D027,Meningococcal Meningitis,流行性脑脊髓膜炎
2022-01-01,2022/01/01,2022 January,Pertussis,百日咳,,0.0,-10,-10,全国,China,100000,pmid:35265393; pmc:PMC8886490; doi:10.46234/ccdcw2022.025,https://pmc.ncbi.nlm.nih.gov/articles/PMC8886490/,PubMed,D028,Pertussis,百日咳
2022-01-01,2022/01/01,2022 January,Diphtheria,白喉,0.0,0.0,-10,-10,全国,China,100000,pmid:35265393; pmc:PMC8886490; doi:10.46234/ccdcw2022.025,https://pmc.ncbi.nlm.nih.gov/articles/PMC8886490/,PubMed,D029,Diphtheria,白喉
2022-01-01,2022/01/01,2022 January,Neonatal Tetanus,新生儿破伤风,1.0,0.0,-10,-10,全国,China,100000,pmid:35265393; pmc:PMC8886490; doi:10.46234/ccdcw2022.025,https://pmc.ncbi.nlm.nih.gov/articles/PMC8886490/,PubMed,D030,Neonatal Tetanus,新生儿破伤风
2022-01-01,2022/01/01,2022 January,Scarlet fever,猩红热,,0.0,-10,-10,全国,China,100000,pmid:35265393; pmc:PMC8886490; doi:10.46234/ccdcw2022.025,https://pmc.ncbi.nlm.nih.gov/articles/PMC8886490/,PubMed,D031,Scarlet fever,猩红热
2022-01-01,2022/01/01,2022 January,Brucellosis,布鲁氏菌病,,0.0,-10,-10,全国,China,100000,pmid:35265393; pmc:PMC8886490; doi:10.46234/ccdcw2022.025,https://pmc.ncbi.nlm.nih.gov/articles/PMC8886490/,PubMed,D032,Brucellosis,布鲁氏菌病
2022-01-01,2022/01/01,2022 January,Gonorrhea,淋病,,1.0,-10,-10,全国,China,100000,pmid:35265393; pmc:PMC8886490; doi:10.46234/ccdcw2022.025,https://pmc.ncbi.nlm.nih.gov/articles/PMC8886490/,PubMed,D033,Gonorrhea,淋病
2022-01-01,2022/01/01,2022 January,Syphilis,梅毒,,5.0,-10,-10,全国,China,100000,pmid:35265393; pmc:PMC8886490; doi:10.46234/ccdcw2022.025,https://pmc.ncbi.nlm.nih.gov/articles/PMC8886490/,PubMed,D034,Syphilis,梅毒
2022-01-01,2022/01/01,2022 January,Leptospirosis,钩端螺旋体病,8.0,0.0,-10,-10,全国,China,100000,pmid:35265393; pmc:PMC8886490; doi:10.46234/ccdcw2022.025,https://pmc.ncbi.nlm.nih.gov/articles/PMC8886490/,PubMed,D035,Leptospirosis,钩端螺旋体病
2022-01-01,2022/01/01,2022 January,Schistosomiasis,血吸虫病,4.0,0.0,-10,-10,全国,China,100000,pmid:35265393; pmc:PMC8886490; doi:10.46234/ccdcw2022.025,https://pmc.ncbi.nlm.nih.gov/articles/PMC8886490/,PubMed,D036,Schistosomiasis,血吸虫病
2022-01-01,2022/01/01,2022 January,Malaria,疟疾,26.0,0.0,-10,-10,全国,China,100000,pmid:35265393; pmc:PMC8886490; doi:10.46234/ccdcw2022.025,https://pmc.ncbi.nlm.nih.gov/articles/PMC8886490/,PubMed,D037,Malaria,疟疾
2022-01-01,2022/01/01,2022 January,H7N9,人感染H7N9禽流感,0.0,0.0,-10,-10,全国,China,100000,pmid:35265393; pmc:PMC8886490; doi:10.46234/ccdcw2022.025,https://pmc.ncbi.nlm.nih.gov/articles/PMC8886490/,PubMed,D015,H7N9,人感染H7N9禽流感
2022-01-01,2022/01/01,2022 January,COVID-19,新型冠状病毒感染,,0.0,-10,-10,全国,China,100000,pmid:35265393; pmc:PMC8886490; doi:10.46234/ccdcw2022.025,https://pmc.ncbi.nlm.nih.gov/articles/PMC8886490/,PubMed,D004,COVID-19,新型冠状病毒感染
2022-01-01,2022/01/01,2022 January,Influenza,流行性感冒,,5.0,-10,-10,全国,China,100000,pmid:35265393; pmc:PMC8886490; doi:10.46234/ccdcw2022.025,https://pmc.ncbi.nlm.nih.gov/articles/PMC8886490/,PubMed,D038,Influenza,流行性感冒
2022-01-01,2022/01/01,2022 January,Mumps,流行性腮腺炎,,0.0,-10,-10,全国,China,100000,pmid:35265393; pmc:PMC8886490; doi:10.46234/ccdcw2022.025,https://pmc.ncbi.nlm.nih.gov/articles/PMC8886490/,PubMed,D039,Mumps,流行性腮腺炎
2022-01-01,2022/01/01,2022 January,Rubella,风疹,70.0,0.0,-10,-10,全国,China,100000,pmid:35265393; pmc:PMC8886490; doi:10.46234/ccdcw2022.025,https://pmc.ncbi.nlm.nih.gov/articles/PMC8886490/,PubMed,D040,Rubella,风疹
2022-01-01,2022/01/01,2022 January,Acute Hemorrhagic Conjunctivitis,急性出血性结膜炎,,0.0,-10,-10,全国,China,100000,pmid:35265393; pmc:PMC8886490; doi:10.46234/ccdcw2022.025,https://pmc.ncbi.nlm.nih.gov/articles/PMC8886490/,PubMed,D041,Acute Hemorrhagic Conjunctivitis,急性出血性结膜炎
2022-01-01,2022/01/01,2022 January,Leprosy,麻风病,32.0,0.0,-10,-10,全国,China,100000,pmid:35265393; pmc:PMC8886490; doi:10.46234/ccdcw2022.025,https://pmc.ncbi.nlm.nih.gov/articles/PMC8886490/,PubMed,D042,Leprosy,麻风病
2022-01-01,2022/01/01,2022 January,Typhus,流行性和地方性斑疹伤寒,63.0,0.0,-10,-10,全国,China,100000,pmid:35265393; pmc:PMC8886490; doi:10.46234/ccdcw2022.025,https://pmc.ncbi.nlm.nih.gov/articles/PMC8886490/,PubMed,D043,Typhus,流行性和地方性斑疹伤寒
2022-01-01,2022/01/01,2022 January,Kala-azar,黑热病,22.0,0.0,-10,-10,全国,China,100000,pmid:35265393; pmc:PMC8886490; doi:10.46234/ccdcw2022.025,https://pmc.ncbi.nlm.nih.gov/articles/PMC8886490/,PubMed,D044,Kala-azar,黑热病
2022-01-01,2022/01/01,2022 January,Echinococcosis,包虫病,347.0,0.0,-10,-10,全国,China,100000,pmid:35265393; pmc:PMC8886490; doi:10.46234/ccdcw2022.025,https://pmc.ncbi.nlm.nih.gov/articles/PMC8886490/,PubMed,D045,Echinococcosis,包虫病
2022-01-01,2022/01/01,2022 January,Filariasis,丝虫病,0.0,0.0,-10,-10,全国,China,100000,pmid:35265393; pmc:PMC8886490; doi:10.46234/ccdcw2022.025,https://pmc.ncbi.nlm.nih.gov/articles/PMC8886490/,PubMed,D046,Filariasis,丝虫病
2022-01-01,2022/01/01,2022 January,Infectious Diarrhea,其他感染性腹泻病,,1.0,-10,-10,全国,China,100000,pmid:35265393; pmc:PMC8886490; doi:10.46234/ccdcw2022.025,https://pmc.ncbi.nlm.nih.gov/articles/PMC8886490/,PubMed,D047,Infectious Diarrhea,其他感染性腹泻病
2022-01-01,2022/01/01,2022 January,Hand-Foot-Mouth Disease,手足口病,,1.0,-10,-10,全国,China,100000,pmid:35265393; pmc:PMC8886490; doi:10.46234/ccdcw2022.025,https://pmc.ncbi.nlm.nih.gov/articles/PMC8886490/,PubMed,D048,Hand-Foot-Mouth Disease,手足口病
2022-01-01,2022/01/01,2022 January,Total,甲乙丙类传染病总计,,,-10,-10,全国,China,100000,pmid:35265393; pmc:PMC8886490; doi:10.46234/ccdcw2022.025,https://pmc.ncbi.nlm.nih.gov/articles/PMC8886490/,PubMed,D999,Total,甲乙丙类传染病总计
