Date,YearMonthDay,YearMonth,Diseases,DiseasesCN,Cases,Deaths,Incidence,Mortality,ProvinceCN,Province,ADCode,DOI,URL,Source,disease_id,standard_name_en,standard_name_zh
2022-10-01,2022/10/01,2022 October,Cholera,霍乱,3.0,0.0,-10,-10,全国,China,100000,pmid:36779174; pmc:PMC9906046; doi:10.46234/ccdcw2022.220,https://pmc.ncbi.nlm.nih.gov/articles/PMC9906046/,PubMed,D002,Cholera,霍乱
2022-10-01,2022/10/01,2022 October,Measles,麻疹,111.0,0.0,-10,-10,全国,China,100000,pmid:36779174; pmc:PMC9906046; doi:10.46234/ccdcw2022.220,https://pmc.ncbi.nlm.nih.gov/articles/PMC9906046/,PubMed,D017,Measles,麻疹
2022-10-01,2022/10/01,2022 October,Hemorrhagic Fever,流行性出血热,400.0,2.0,-10,-10,全国,China,100000,pmid:36779174; pmc:PMC9906046; doi:10.46234/ccdcw2022.220,https://pmc.ncbi.nlm.nih.gov/articles/PMC9906046/,PubMed,D018,Hemorrhagic Fever,流行性出血热
2022-10-01,2022/10/01,2022 October,Rabies,狂犬病,12.0,6.0,-10,-10,全国,China,100000,pmid:36779174; pmc:PMC9906046; doi:10.46234/ccdcw2022.220,https://pmc.ncbi.nlm.nih.gov/articles/PMC9906046/,PubMed,D019,Rabies,狂犬病
2022-10-01,2022/10/01,2022 October,Japanese Encephalitis,流行性乙型脑炎,27.0,0.0,-10,-10,全国,China,100000,pmid:36779174; pmc:PMC9906046; doi:10.46234/ccdcw2022.220,https://pmc.ncbi.nlm.nih.gov/articles/PMC9906046/,PubMed,D020,Japanese Encephalitis,流行性乙型脑炎
2022-10-01,2022/10/01,2022 October,Dengue,登革热,326.0,0.0,-10,-10,全国,China,100000,pmid:36779174; pmc:PMC9906046; doi:10.46234/ccdcw2022.220,https://pmc.ncbi.nlm.nih.gov/articles/PMC9906046/,PubMed,D021,Dengue,登革热
2022-10-01,2022/10/01,2022 October,Anthrax,炭疽,35.0,0.0,-10,-10,全国,China,100000,pmid:36779174; pmc:PMC9906046; doi:10.46234/ccdcw2022.220,https://pmc.ncbi.nlm.nih.gov/articles/PMC9906046/,PubMed,D023,Anthrax,炭疽
2022-10-01,2022/10/01,2022 October,Dysentery,细菌性和阿米巴性痢疾,,0.0,-10,-10,全国,China,100000,pmid:36779174; pmc:PMC9906046; doi:10.46234/ccdcw2022.220,https://pmc.ncbi.nlm.nih.gov/articles/PMC9906046/,PubMed,D024,Dysentery,细菌性和阿米巴性痢疾
2022-10-01,2022/10/01,2022 October,Tuberculosis,肺结核,,304.0,-10,-10,全国,China,100000,pmid:36779174; pmc:PMC9906046; doi:10.46234/ccdcw2022.220,https://pmc.ncbi.nlm.nih.gov/articles/PMC9906046/,PubMed,D025,Tuberculosis,肺结核
2022-10-01,2022/10/01,2022 October,Typhoid and Paratyphoid fever,伤寒和副伤寒,494.0,1.0,-10,-10,全国,China,100000,pmid:36779174; pmc:PMC9906046; doi:10.46234/ccdcw2022.220,https://pmc.ncbi.nlm.nih.gov/articles/PMC9906046/,PubMed,D026,Typhoid and Paratyphoid fever,伤寒和副伤寒
2022-10-01,2022/10/01,2022 October,Meningococcal Meningitis,流行性脑脊髓膜炎,4.0,0.0,-10,-10,全国,China,100000,pmid:36779174; pmc:PMC9906046; doi:10.46234/ccdcw2022.220,https://pmc.ncbi.nlm.nih.gov/articles/PMC9906046/,PubMed,D027,Meningococcal Meningitis,流行性脑脊髓膜炎
2022-10-01,2022/10/01,2022 October,Pertussis,百日咳,,0.0,-10,-10,全国,China,100000,pmid:36779174; pmc:PMC9906046; doi:10.46234/ccdcw2022.220,https://pmc.ncbi.nlm.nih.gov/articles/PMC9906046/,PubMed,D028,Pertussis,百日咳
2022-10-01,2022/10/01,2022 October,Diphtheria,白喉,0.0,0.0,-10,-10,全国,China,100000,pmid:36779174; pmc:PMC9906046; doi:10.46234/ccdcw2022.220,https://pmc.ncbi.nlm.nih.gov/articles/PMC9906046/,PubMed,D029,Diphtheria,白喉
2022-10-01,2022/10/01,2022 October,Neonatal Tetanus,新生儿破伤风,1.0,0.0,-10,-10,全国,China,100000,pmid:36779174; pmc:PMC9906046; doi:10.46234/ccdcw2022.220,https://pmc.ncbi.nlm.nih.gov/articles/PMC9906046/,PubMed,D030,Neonatal Tetanus,新生儿破伤风
2022-10-01,2022/10/01,2022 October,Scarlet fever,猩红热,,0.0,-10,-10,全国,China,100000,pmid:36779174; pmc:PMC9906046; doi:10.46234/ccdcw2022.220,https://pmc.ncbi.nlm.nih.gov/articles/PMC9906046/,PubMed,D031,Scarlet fever,猩红热
2022-10-01,2022/10/01,2022 October,Brucellosis,布鲁氏菌病,,0.0,-10,-10,全国,China,100000,pmid:36779174; pmc:PMC9906046; doi:10.46234/ccdcw2022.220,https://pmc.ncbi.nlm.nih.gov/articles/PMC9906046/,PubMed,D032,Brucellosis,布鲁氏菌病
2022-10-01,2022/10/01,2022 October,Gonorrhea,淋病,,1.0,-10,-10,全国,China,100000,pmid:36779174; pmc:PMC9906046; doi:10.46234/ccdcw2022.220,https://pmc.ncbi.nlm.nih.gov/articles/PMC9906046/,PubMed,D033,Gonorrhea,淋病
2022-10-01,2022/10/01,2022 October,Syphilis,梅毒,,2.0,-10,-10,全国,China,100000,pmid:36779174; pmc:PMC9906046; doi:10.46234/ccdcw2022.220,https://pmc.ncbi.nlm.nih.gov/articles/PMC9906046/,PubMed,D034,Syphilis,梅毒
2022-10-01,2022/10/01,2022 October,Leptospirosis,钩端螺旋体病,28.0,0.0,-10,-10,全国,China,100000,pmid:36779174; pmc:PMC9906046; doi:10.46234/ccdcw2022.220,https://pmc.ncbi.nlm.nih.gov/articles/PMC9906046/,PubMed,D035,Leptospirosis,钩端螺旋体病
2022-10-01,2022/10/01,2022 October,Schistosomiasis,血吸虫病,11.0,0.0,-10,-10,全国,China,100000,pmid:36779174; pmc:PMC9906046; doi:10.46234/ccdcw2022.220,https://pmc.ncbi.nlm.nih.gov/articles/PMC9906046/,PubMed,D036,Schistosomiasis,血吸虫病
2022-10-01,2022/10/01,2022 October,Malaria,疟疾,92.0,0.0,-10,-10,全国,China,100000,pmid:36779174; pmc:PMC9906046; doi:10.46234/ccdcw2022.220,https://pmc.ncbi.nlm.nih.gov/articles/PMC9906046/,PubMed,D037,Malaria,疟疾
2022-10-01,2022/10/01,2022 October,H7N9,人感染H7N9禽流感,0.0,0.0,-10,-10,全国,China,100000,pmid:36779174; pmc:PMC9906046; doi:10.46234/ccdcw2022.220,https://pmc.ncbi.nlm.nih.gov/articles/PMC9906046/,PubMed,D015,H7N9,人感染H7N9禽流感
2022-10-01,2022/10/01,2022 October,COVID-19,新型冠状病毒感染,,0.0,-10,-10,全国,China,100000,pmid:36779174; pmc:PMC9906046; doi:10.46234/ccdcw2022.220,https://pmc.ncbi.nlm.nih.gov/articles/PMC9906046/,PubMed,D004,COVID-19,新型冠状病毒感染
2022-10-01,2022/10/01,2022 October,Influenza,流行性感冒,,1.0,-10,-10,全国,China,100000,pmid:36779174; pmc:PMC9906046; doi:10.46234/ccdcw2022.220,https://pmc.ncbi.nlm.nih.gov/articles/PMC9906046/,PubMed,D038,Influenza,流行性感冒
2022-10-01,2022/10/01,2022 October,Mumps,流行性腮腺炎,,0.0,-10,-10,全国,China,100000,pmid:36779174; pmc:PMC9906046; doi:10.46234/ccdcw2022.220,https://pmc.ncbi.nlm.nih.gov/articles/PMC9906046/,PubMed,D039,Mumps,流行性腮腺炎
2022-10-01,2022/10/01,2022 October,Rubella,风疹,118.0,0.0,-10,-10,全国,China,100000,pmid:36779174; pmc:PMC9906046; doi:10.46234/ccdcw2022.220,https://pmc.ncbi.nlm.nih.gov/articles/PMC9906046/,PubMed,D040,Rubella,风疹
2022-10-01,2022/10/01,2022 October,Acute Hemorrhagic Conjunctivitis,急性出血性结膜炎,,0.0,-10,-10,全国,China,100000,pmid:36779174; pmc:PMC9906046; doi:10.46234/ccdcw2022.220,https://pmc.ncbi.nlm.nih.gov/articles/PMC9906046/,PubMed,D041,Acute Hemorrhagic Conjunctivitis,急性出血性结膜炎
2022-10-01,2022/10/01,2022 October,Leprosy,麻风病,13.0,0.0,-10,-10,全国,China,100000,pmid:36779174; pmc:PMC9906046; doi:10.46234/ccdcw2022.220,https://pmc.ncbi.nlm.nih.gov/articles/PMC9906046/,PubMed,D042,Leprosy,麻风病
2022-10-01,2022/10/01,2022 October,Typhus,流行性和地方性斑疹伤寒,118.0,0.0,-10,-10,全国,China,100000,pmid:36779174; pmc:PMC9906046; doi:10.46234/ccdcw2022.220,https://pmc.ncbi.nlm.nih.gov/articles/PMC9906046/,PubMed,D043,Typhus,流行性和地方性斑疹伤寒
2022-10-01,2022/10/01,2022 October,Kala-azar,黑热病,16.0,0.0,-10,-10,全国,China,100000,pmid:36779174; pmc:PMC9906046; doi:10.46234/ccdcw2022.220,https://pmc.ncbi.nlm.nih.gov/articles/PMC9906046/,PubMed,D044,Kala-azar,黑热病
2022-10-01,2022/10/01,2022 October,Echinococcosis,包虫病,115.0,0.0,-10,-10,全国,China,100000,pmid:36779174; pmc:PMC9906046; doi:10.46234/ccdcw2022.220,https://pmc.ncbi.nlm.nih.gov/articles/PMC9906046/,PubMed,D045,Echinococcosis,包虫病
2022-10-01,2022/10/01,2022 October,Filariasis,丝虫病,0.0,0.0,-10,-10,全国,China,100000,pmid:36779174; pmc:PMC9906046; doi:10.46234/ccdcw2022.220,https://pmc.ncbi.nlm.nih.gov/articles/PMC9906046/,PubMed,D046,Filariasis,丝虫病
2022-10-01,2022/10/01,2022 October,Infectious Diarrhea,其他感染性腹泻病,,0.0,-10,-10,全国,China,100000,pmid:36779174; pmc:PMC9906046; doi:10.46234/ccdcw2022.220,https://pmc.ncbi.nlm.nih.gov/articles/PMC9906046/,PubMed,D047,Infectious Diarrhea,其他感染性腹泻病
2022-10-01,2022/10/01,2022 October,Hand-Foot-Mouth Disease,手足口病,,0.0,-10,-10,全国,China,100000,pmid:36779174; pmc:PMC9906046; doi:10.46234/ccdcw2022.220,https://pmc.ncbi.nlm.nih.gov/articles/PMC9906046/,PubMed,D048,Hand-Foot-Mouth Disease,手足口病
2022-10-01,2022/10/01,2022 October,Total,甲乙丙类传染病总计,,,-10,-10,全国,China,100000,pmid:36779174; pmc:PMC9906046; doi:10.46234/ccdcw2022.220,https://pmc.ncbi.nlm.nih.gov/articles/PMC9906046/,PubMed,D999,Total,甲乙丙类传染病总计
