Date,YearMonthDay,YearMonth,Diseases,DiseasesCN,Cases,Deaths,Incidence,Mortality,ProvinceCN,Province,ADCode,DOI,URL,Source,disease_id,standard_name_en,standard_name_zh
2021-06-01,2021/06/01,2021 June,Cholera,霍乱,3.0,0.0,-10,-10,全国,China,100000,pmid:34594986; pmc:PMC8427103; doi:10.46234/ccdcw2021.162,https://pmc.ncbi.nlm.nih.gov/articles/PMC8427103/,PubMed,D002,Cholera,霍乱
2021-06-01,2021/06/01,2021 June,H5N1,人感染高致病性禽流感,0.0,0.0,-10,-10,全国,China,100000,pmid:34594986; pmc:PMC8427103; doi:10.46234/ccdcw2021.162,https://pmc.ncbi.nlm.nih.gov/articles/PMC8427103/,PubMed,D014,H5N1,人感染高致病性禽流感
2021-06-01,2021/06/01,2021 June,Measles,麻疹,72.0,0.0,-10,-10,全国,China,100000,pmid:34594986; pmc:PMC8427103; doi:10.46234/ccdcw2021.162,https://pmc.ncbi.nlm.nih.gov/articles/PMC8427103/,PubMed,D017,Measles,麻疹
2021-06-01,2021/06/01,2021 June,Hemorrhagic Fever,流行性出血热,724.0,5.0,-10,-10,全国,China,100000,pmid:34594986; pmc:PMC8427103; doi:10.46234/ccdcw2021.162,https://pmc.ncbi.nlm.nih.gov/articles/PMC8427103/,PubMed,D018,Hemorrhagic Fever,流行性出血热
2021-06-01,2021/06/01,2021 June,Rabies,狂犬病,18.0,15.0,-10,-10,全国,China,100000,pmid:34594986; pmc:PMC8427103; doi:10.46234/ccdcw2021.162,https://pmc.ncbi.nlm.nih.gov/articles/PMC8427103/,PubMed,D019,Rabies,狂犬病
2021-06-01,2021/06/01,2021 June,Japanese Encephalitis,流行性乙型脑炎,10.0,1.0,-10,-10,全国,China,100000,pmid:34594986; pmc:PMC8427103; doi:10.46234/ccdcw2021.162,https://pmc.ncbi.nlm.nih.gov/articles/PMC8427103/,PubMed,D020,Japanese Encephalitis,流行性乙型脑炎
2021-06-01,2021/06/01,2021 June,Dengue,登革热,8.0,0.0,-10,-10,全国,China,100000,pmid:34594986; pmc:PMC8427103; doi:10.46234/ccdcw2021.162,https://pmc.ncbi.nlm.nih.gov/articles/PMC8427103/,PubMed,D021,Dengue,登革热
2021-06-01,2021/06/01,2021 June,Anthrax,炭疽,25.0,0.0,-10,-10,全国,China,100000,pmid:34594986; pmc:PMC8427103; doi:10.46234/ccdcw2021.162,https://pmc.ncbi.nlm.nih.gov/articles/PMC8427103/,PubMed,D023,Anthrax,炭疽
2021-06-01,2021/06/01,2021 June,Dysentery,细菌性和阿米巴性痢疾,,0.0,-10,-10,全国,China,100000,pmid:34594986; pmc:PMC8427103; doi:10.46234/ccdcw2021.162,https://pmc.ncbi.nlm.nih.gov/articles/PMC8427103/,PubMed,D024,Dysentery,细菌性和阿米巴性痢疾
2021-06-01,2021/06/01,2021 June,Tuberculosis,肺结核,,104.0,-10,-10,全国,China,100000,pmid:34594986; pmc:PMC8427103; doi:10.46234/ccdcw2021.162,https://pmc.ncbi.nlm.nih.gov/articles/PMC8427103/,PubMed,D025,Tuberculosis,肺结核
2021-06-01,2021/06/01,2021 June,Typhoid and Paratyphoid fever,伤寒和副伤寒,829.0,0.0,-10,-10,全国,China,100000,pmid:34594986; pmc:PMC8427103; doi:10.46234/ccdcw2021.162,https://pmc.ncbi.nlm.nih.gov/articles/PMC8427103/,PubMed,D026,Typhoid and Paratyphoid fever,伤寒和副伤寒
2021-06-01,2021/06/01,2021 June,Meningococcal Meningitis,流行性脑脊髓膜炎,6.0,0.0,-10,-10,全国,China,100000,pmid:34594986; pmc:PMC8427103; doi:10.46234/ccdcw2021.162,https://pmc.ncbi.nlm.nih.gov/articles/PMC8427103/,PubMed,D027,Meningococcal Meningitis,流行性脑脊髓膜炎
2021-06-01,2021/06/01,2021 June,Pertussis,百日咳,519.0,0.0,-10,-10,全国,China,100000,pmid:34594986; pmc:PMC8427103; doi:10.46234/ccdcw2021.162,https://pmc.ncbi.nlm.nih.gov/articles/PMC8427103/,PubMed,D028,Pertussis,百日咳
2021-06-01,2021/06/01,2021 June,Diphtheria,白喉,0.0,0.0,-10,-10,全国,China,100000,pmid:34594986; pmc:PMC8427103; doi:10.46234/ccdcw2021.162,https://pmc.ncbi.nlm.nih.gov/articles/PMC8427103/,PubMed,D029,Diphtheria,白喉
2021-06-01,2021/06/01,2021 June,Neonatal Tetanus,新生儿破伤风,0.0,0.0,-10,-10,全国,China,100000,pmid:34594986; pmc:PMC8427103; doi:10.46234/ccdcw2021.162,https://pmc.ncbi.nlm.nih.gov/articles/PMC8427103/,PubMed,D030,Neonatal Tetanus,新生儿破伤风
2021-06-01,2021/06/01,2021 June,Scarlet fever,猩红热,,0.0,-10,-10,全国,China,100000,pmid:34594986; pmc:PMC8427103; doi:10.46234/ccdcw2021.162,https://pmc.ncbi.nlm.nih.gov/articles/PMC8427103/,PubMed,D031,Scarlet fever,猩红热
2021-06-01,2021/06/01,2021 June,Brucellosis,布鲁氏菌病,,0.0,-10,-10,全国,China,100000,pmid:34594986; pmc:PMC8427103; doi:10.46234/ccdcw2021.162,https://pmc.ncbi.nlm.nih.gov/articles/PMC8427103/,PubMed,D032,Brucellosis,布鲁氏菌病
2021-06-01,2021/06/01,2021 June,Gonorrhea,淋病,,0.0,-10,-10,全国,China,100000,pmid:34594986; pmc:PMC8427103; doi:10.46234/ccdcw2021.162,https://pmc.ncbi.nlm.nih.gov/articles/PMC8427103/,PubMed,D033,Gonorrhea,淋病
2021-06-01,2021/06/01,2021 June,Syphilis,梅毒,,2.0,-10,-10,全国,China,100000,pmid:34594986; pmc:PMC8427103; doi:10.46234/ccdcw2021.162,https://pmc.ncbi.nlm.nih.gov/articles/PMC8427103/,PubMed,D034,Syphilis,梅毒
2021-06-01,2021/06/01,2021 June,Leptospirosis,钩端螺旋体病,19.0,0.0,-10,-10,全国,China,100000,pmid:34594986; pmc:PMC8427103; doi:10.46234/ccdcw2021.162,https://pmc.ncbi.nlm.nih.gov/articles/PMC8427103/,PubMed,D035,Leptospirosis,钩端螺旋体病
2021-06-01,2021/06/01,2021 June,Schistosomiasis,血吸虫病,4.0,0.0,-10,-10,全国,China,100000,pmid:34594986; pmc:PMC8427103; doi:10.46234/ccdcw2021.162,https://pmc.ncbi.nlm.nih.gov/articles/PMC8427103/,PubMed,D036,Schistosomiasis,血吸虫病
2021-06-01,2021/06/01,2021 June,Malaria,疟疾,109.0,0.0,-10,-10,全国,China,100000,pmid:34594986; pmc:PMC8427103; doi:10.46234/ccdcw2021.162,https://pmc.ncbi.nlm.nih.gov/articles/PMC8427103/,PubMed,D037,Malaria,疟疾
2021-06-01,2021/06/01,2021 June,H7N9,人感染H7N9禽流感,0.0,0.0,-10,-10,全国,China,100000,pmid:34594986; pmc:PMC8427103; doi:10.46234/ccdcw2021.162,https://pmc.ncbi.nlm.nih.gov/articles/PMC8427103/,PubMed,D015,H7N9,人感染H7N9禽流感
2021-06-01,2021/06/01,2021 June,COVID-19,新型冠状病毒感染,670.0,0.0,-10,-10,全国,China,100000,pmid:34594986; pmc:PMC8427103; doi:10.46234/ccdcw2021.162,https://pmc.ncbi.nlm.nih.gov/articles/PMC8427103/,PubMed,D004,COVID-19,新型冠状病毒感染
2021-06-01,2021/06/01,2021 June,Influenza,流行性感冒,,0.0,-10,-10,全国,China,100000,pmid:34594986; pmc:PMC8427103; doi:10.46234/ccdcw2021.162,https://pmc.ncbi.nlm.nih.gov/articles/PMC8427103/,PubMed,D038,Influenza,流行性感冒
2021-06-01,2021/06/01,2021 June,Mumps,流行性腮腺炎,,1.0,-10,-10,全国,China,100000,pmid:34594986; pmc:PMC8427103; doi:10.46234/ccdcw2021.162,https://pmc.ncbi.nlm.nih.gov/articles/PMC8427103/,PubMed,D039,Mumps,流行性腮腺炎
2021-06-01,2021/06/01,2021 June,Rubella,风疹,115.0,0.0,-10,-10,全国,China,100000,pmid:34594986; pmc:PMC8427103; doi:10.46234/ccdcw2021.162,https://pmc.ncbi.nlm.nih.gov/articles/PMC8427103/,PubMed,D040,Rubella,风疹
2021-06-01,2021/06/01,2021 June,Acute Hemorrhagic Conjunctivitis,急性出血性结膜炎,,0.0,-10,-10,全国,China,100000,pmid:34594986; pmc:PMC8427103; doi:10.46234/ccdcw2021.162,https://pmc.ncbi.nlm.nih.gov/articles/PMC8427103/,PubMed,D041,Acute Hemorrhagic Conjunctivitis,急性出血性结膜炎
2021-06-01,2021/06/01,2021 June,Leprosy,麻风病,36.0,0.0,-10,-10,全国,China,100000,pmid:34594986; pmc:PMC8427103; doi:10.46234/ccdcw2021.162,https://pmc.ncbi.nlm.nih.gov/articles/PMC8427103/,PubMed,D042,Leprosy,麻风病
2021-06-01,2021/06/01,2021 June,Typhus,流行性和地方性斑疹伤寒,112.0,0.0,-10,-10,全国,China,100000,pmid:34594986; pmc:PMC8427103; doi:10.46234/ccdcw2021.162,https://pmc.ncbi.nlm.nih.gov/articles/PMC8427103/,PubMed,D043,Typhus,流行性和地方性斑疹伤寒
2021-06-01,2021/06/01,2021 June,Kala-azar,黑热病,23.0,0.0,-10,-10,全国,China,100000,pmid:34594986; pmc:PMC8427103; doi:10.46234/ccdcw2021.162,https://pmc.ncbi.nlm.nih.gov/articles/PMC8427103/,PubMed,D044,Kala-azar,黑热病
2021-06-01,2021/06/01,2021 June,Echinococcosis,包虫病,238.0,0.0,-10,-10,全国,China,100000,pmid:34594986; pmc:PMC8427103; doi:10.46234/ccdcw2021.162,https://pmc.ncbi.nlm.nih.gov/articles/PMC8427103/,PubMed,D045,Echinococcosis,包虫病
2021-06-01,2021/06/01,2021 June,Filariasis,丝虫病,0.0,0.0,-10,-10,全国,China,100000,pmid:34594986; pmc:PMC8427103; doi:10.46234/ccdcw2021.162,https://pmc.ncbi.nlm.nih.gov/articles/PMC8427103/,PubMed,D046,Filariasis,丝虫病
2021-06-01,2021/06/01,2021 June,Infectious Diarrhea,其他感染性腹泻病,,0.0,-10,-10,全国,China,100000,pmid:34594986; pmc:PMC8427103; doi:10.46234/ccdcw2021.162,https://pmc.ncbi.nlm.nih.gov/articles/PMC8427103/,PubMed,D047,Infectious Diarrhea,其他感染性腹泻病
2021-06-01,2021/06/01,2021 June,Hand-Foot-Mouth Disease,手足口病,,2.0,-10,-10,全国,China,100000,pmid:34594986; pmc:PMC8427103; doi:10.46234/ccdcw2021.162,https://pmc.ncbi.nlm.nih.gov/articles/PMC8427103/,PubMed,D048,Hand-Foot-Mouth Disease,手足口病
2021-06-01,2021/06/01,2021 June,Total,甲乙丙类传染病总计,,,-10,-10,全国,China,100000,pmid:34594986; pmc:PMC8427103; doi:10.46234/ccdcw2021.162,https://pmc.ncbi.nlm.nih.gov/articles/PMC8427103/,PubMed,D999,Total,甲乙丙类传染病总计
